WELL_NAME,REL_NAME,UBHI,STRING_NAME,FIELD,PRODUCTION_DATE,LAYER_NAME,OIL_VOLUME,GAS_VOLUME,WATER_VOLUME,CONDENSATE_VOLUME,OIL_MASS,GAS_MASS,WATER_MASS,CONDENSATE_MASS,FLOWING_HOURS
KN-4,RF,KN-4,Single_String,BAN,31-Oct-24,KPYX-51,0,0,0,0,0,0,0,0,0
-33A,DC,-33A,Single_String,BAN,31-Oct-24,KPYX-65,0,925633,54.36,4.65,0,0.92,54.36,3.77,744
N-30,AB,N-30,Single_String,BAN,31-Oct-24,KPYX-65,0,658821,33.38,2.58,0,0.65,33.38,2.09,744
N-25,AE,N-25,Single_String,BAN,31-Oct-24,KPYX-55,0,0,0,0,0,0,0,0,0
N-24,AA,N-24,Single_String,BAN,31-Oct-24,KPYX-65,0,0,0,0,0,0,0,0,0
N-20,#NAME?,N-20,Single_String,BAN,31-Oct-24,KPYX-55,0,1914873,30.13,2.58,0,1.91,30.13,2.09,742
N-14,RS,N-14,Single_String,BAN,31-Oct-24,KPYX-55,0,1726118,30.2,2.58,0,1.72,30.2,2.09,744
N-99,EI,N-99,Single_String,BAN,31-Oct-24,KPYX-82,0,1865535,27.77,2.36,0,1.86,27.77,1.91,744
N-97,EA,N-97,Single_String,BAN,31-Oct-24,KPYX-80,0,201036,48.98,3.04,0,0.2,48.98,2.47,744
N-96,EE,N-96,Single_String,BAN,31-Oct-24,KPYX55A,0,515373,95.04,5.42,0,0.51,95.04,4.4,744
N-94,EH,N-94,Single_String,BAN,31-Oct-24,KPYX65B,0,0,0,0,0,0,0,0,0
N-93,EC,N-93,Single_String,BAN,31-Oct-24,KPYX-82,0,787305,59.61,4.21,0,0.78,59.61,3.42,744
N-92,EF,N-92,Single_String,BAN,31-Oct-24,KPYX55B,0,1598286,61.05,4.13,0,1.59,61.05,3.35,744
N-91,EB,N-91,Single_String,BAN,31-Oct-24,KPYX-30,0,1296999,31.81,4.5,0,1.29,31.81,3.65,744
N-90,ED,N-90,Single_String,BAN,31-Oct-24,KPYX-83,0,1558509,26.41,3.22,0,1.55,26.41,2.61,744
N-89,DY,N-89,Single_String,BAN,31-Oct-24,KPYXP-8,0,0,0,0,0,0,0,0,0
N-88,DZ,N-88,Single_String,BAN,31-Oct-24,KPYX65B,0,406621,15.17,2.55,0,0.4,15.17,2.07,396
N-87,EG,N-87,Single_String,BAN,31-Oct-24,KPYX-30,0,2988957,32.38,2.77,0,2.98,32.38,2.24,726
N-86,BN,N-86,Single_String,BAN,31-Oct-24,KPYX-82,0,1553347,85.81,4.32,0,1.55,85.81,3.5,739.5
N-84,FT,N-84,Single_String,BAN,31-Oct-24,NEYXAND,0,0,0,0,0,0,0,0,0
